strain	virus	country	region	year	date	Collection.Date	accession	GenomeName	Species	Strain	IsolationSource	IsolationCountry	Collection.Year	CollectionDate	GeographicLocation	HostCommonName	host	
OP345104_Rostov 297/20	Orthoflavivirus nilense	Russia	Europe	2020	2020-01-01	2020	OP345104	West Nile virus Rostov 297/20	Orthoflavivirus nilense	Rostov 297/20		Russia	2020	2020	Russia: Rostov	Rook	Avian	
OP345103_Volgograd 305/20	Orthoflavivirus nilense	Russia	Europe	2020	2020-01-01	2020	OP345103	West Nile virus Volgograd 305/20	Orthoflavivirus nilense	Volgograd 305/20		Russia	2020	2020	Russia: Volgograd	Great Crested Grebe	Avian	
OP345105_Volgograd 120/20	Orthoflavivirus nilense	Russia	Europe	2020	2020-01-01	2020	OP345105	West Nile virus Volgograd 120/20	Orthoflavivirus nilense	Volgograd 120/20		Russia	2020	2020	Russia: Volgograd	Northern House Mosquito	Insect	
OP345106_Volgograd 5/20	Orthoflavivirus nilense	Russia	Europe	2020	2020-01-01	2020	OP345106	West Nile virus Volgograd 5/20	Orthoflavivirus nilense	Volgograd 5/20		Russia	2020	2020	Russia: Volgograd	Northern House Mosquito	Insect	
OP345107_Volgograd 810/19	Orthoflavivirus nilense	Russia	Europe	2019	2019-01-01	2019	OP345107	West Nile virus Volgograd 810/19	Orthoflavivirus nilense	Volgograd 810/19		Russia	2019	2019	Russia: Volgograd	Human	Human	
OP345108_Volgograd 16/19	Orthoflavivirus nilense	Russia	Europe	2019	2019-01-01	2019	OP345108	West Nile virus Volgograd 16/19	Orthoflavivirus nilense	Volgograd 16/19		Russia	2019	2019	Russia: Volgograd	Northern House Mosquito	Insect	
OQ214891_Volgograd 912/22	Orthoflavivirus nilense	Russia	Europe	2022	2022-01-01	2022	OQ214891	West Nile virus Volgograd 912/22	Orthoflavivirus nilense	Volgograd 912/22		Russia	2022	2022	Russia: Volgograd	Northern House Mosquito	Insect	
OQ214890_Volgograd 1031/22	Orthoflavivirus nilense	Russia	Europe	2022	2022-01-01	2022	OQ214890	West Nile virus Volgograd 1031/22	Orthoflavivirus nilense	Volgograd 1031/22		Russia	2022	2022	Russia: Volgograd	Northern House Mosquito	Insect	
OQ214888_Kalmikia 499/22	Orthoflavivirus nilense	Russia	Europe	2022	2022-01-01	2022	OQ214888	West Nile virus Kalmikia 499/22	Orthoflavivirus nilense	Kalmikia 499/22		Russia	2022	2022	Russia: Kalmikia	Northern House Mosquito	Insect	
OQ214889_Stavropol 1451/22	Orthoflavivirus nilense	Russia	Europe	2022	2022-01-01	2022	OQ214889	West Nile virus Stavropol 1451/22	Orthoflavivirus nilense	Stavropol 1451/22		Russia	2022	2022	Russia: Stavropol	Northern House Mosquito	Insect	
OR757503_Krasnodar 61/23	Orthoflavivirus nilense	Russia	Europe	2023	2023-01-01	2023	OR757503	West Nile virus Krasnodar 61/23	Orthoflavivirus nilense	Krasnodar 61/23	liquor	Russia	2023	2023	Russia: Krasnodar			
OR757498_Rostov 7/23	Orthoflavivirus nilense	Russia	Europe	2023	2023-01-01	2023	OR757498	West Nile virus Rostov 7/23	Orthoflavivirus nilense	Rostov 7/23	serum	Russia	2023	2023	Russia: Rostov			
OR757500_Volgograd 15/23	Orthoflavivirus nilense	Russia	Europe	2023	2023-01-01	2023	OR757500	West Nile virus Volgograd 15/23	Orthoflavivirus nilense	Volgograd 15/23	liquor	Russia	2023	2023	Russia: Volgograd			
OR757502_Krasnodar 51/23	Orthoflavivirus nilense	Russia	Europe	2023	2023-01-01	2023	OR757502	West Nile virus Krasnodar 51/23	Orthoflavivirus nilense	Krasnodar 51/23	serum	Russia	2023	2023	Russia: Krasnodar			
OR757506_Volgograd 75/23	Orthoflavivirus nilense	Russia	Europe	2023	2023-01-01	2023	OR757506	West Nile virus Volgograd 75/23	Orthoflavivirus nilense	Volgograd 75/23		Russia	2023	2023	Russia: Volgograd	Tick	Tick	
OR757499_Krasnodar 14/23	Orthoflavivirus nilense	Russia	Europe	2023	2023-01-01	2023	OR757499	West Nile virus Krasnodar 14/23	Orthoflavivirus nilense	Krasnodar 14/23	serum	Russia	2023	2023	Russia: Krasnodar			
OR757501_Bashkortostan 25/23	Orthoflavivirus nilense	Russia	Europe	2023	2023-01-01	2023	OR757501	West Nile virus Bashkortostan 25/23	Orthoflavivirus nilense	Bashkortostan 25/23	serum	Russia	2023	2023	Russia: Bashkortostan			
OR757505_Volgograd 73/23	Orthoflavivirus nilense	Russia	Europe	2023	2023-01-01	2023	OR757505	West Nile virus Volgograd 73/23	Orthoflavivirus nilense	Volgograd 73/23		Russia	2023	2023	Russia: Volgograd	Tick	Tick	
OR757507_Saratov 119/23	Orthoflavivirus nilense	Russia	Europe	2023	2023-01-01	2023	OR757507	West Nile virus Saratov 119/23	Orthoflavivirus nilense	Saratov 119/23		Russia	2023	2023	Russia: Saratov	Mosquito	Insect	
OR757508_KBR 277/23	Orthoflavivirus nilense	Russia	Europe	2023	2023-01-01	2023	OR757508	West Nile virus KBR 277/23	Orthoflavivirus nilense	KBR 277/23	blood	Russia	2023	2023	Russia: Kabardino-Balkaria	Human	Human	
OR757509_Astrakhan 379/23	Orthoflavivirus nilense	Russia	Europe	2023	2023-01-01	2023	OR757509	West Nile virus Astrakhan 379/23	Orthoflavivirus nilense	Astrakhan 379/23		Russia	2023	2023	Russia: Astrakhan	Northern House Mosquito	Insect	
OR757510_Chuvashiya 581/23	Orthoflavivirus nilense	Russia	Europe	2023	2023-01-01	2023	OR757510	West Nile virus Chuvashiya 581/23	Orthoflavivirus nilense	Chuvashiya 581/23	blood	Russia	2023	2023	Russia: Chuvashiya	Human	Human	
OR757512_Vladikavkaz 1336/23	Orthoflavivirus nilense	Russia	Europe	2023	2023-01-01	2023	OR757512	West Nile virus Vladikavkaz 1336/23	Orthoflavivirus nilense	Vladikavkaz 1336/23		Russia	2023	2023	Russia: Vladikavkaz	Mosquito	Insect	
OR757511_Krasnodar 858/23	Orthoflavivirus nilense	Russia	Europe	2023	2023-01-01	2023	OR757511	West Nile virus Krasnodar 858/23	Orthoflavivirus nilense	Krasnodar 858/23	blood	Russia	2023	2023	Russia: Krasnodar	Human	Human	
FJ425721_Reb_VLG_07_H	Orthoflavivirus nilense	Russia	Europe	2007	2007-01-01	2007	FJ425721	West Nile virus Reb_VLG_07_H	Orthoflavivirus nilense	Reb_VLG_07_H	brain	Russia	2007	2007	Russia: Volgograd	Human	Human	
KT757318_Vojvodina_2013_01	Orthoflavivirus nilense	Serbia	Europe	2013	2013-01-01	2013	KT757318	West Nile virus Vojvodina_2013_01	Orthoflavivirus nilense	Vojvodina_2013_01		Serbia	2013	2013	Serbia	Northern House Mosquito	Insect	
KT757319_Vojvodina_2013_02	Orthoflavivirus nilense	Serbia	Europe	2013	2013-01-01	2013	KT757319	West Nile virus Vojvodina_2013_02	Orthoflavivirus nilense	Vojvodina_2013_02		Serbia	2013	2013	Serbia	Northern House Mosquito	Insect	
KT757320_Vojvodina_2013_03	Orthoflavivirus nilense	Serbia	Europe	2013	2013-01-01	2013	KT757320	West Nile virus Vojvodina_2013_03	Orthoflavivirus nilense	Vojvodina_2013_03		Serbia	2013	2013	Serbia	Northern House Mosquito	Insect	
KT757321_Vojvodina_2013_04	Orthoflavivirus nilense	Serbia	Europe	2013	2013-01-01	2013	KT757321	West Nile virus Vojvodina_2013_04	Orthoflavivirus nilense	Vojvodina_2013_04		Serbia	2013	2013	Serbia	Northern House Mosquito	Insect	
KT757322_Vojvodina_2013_05	Orthoflavivirus nilense	Serbia	Europe	2013	2013-01-01	2013	KT757322	West Nile virus Vojvodina_2013_05	Orthoflavivirus nilense	Vojvodina_2013_05		Serbia	2013	2013	Serbia	Northern House Mosquito	Insect	
KT757323_Vojvodina_2013_06	Orthoflavivirus nilense	Serbia	Europe	2013	2013-01-01	2013	KT757323	West Nile virus Vojvodina_2013_06	Orthoflavivirus nilense	Vojvodina_2013_06		Serbia	2013	2013	Serbia	Northern House Mosquito	Insect	
KX375812_Novi Sad 24/2013	Orthoflavivirus nilense	Serbia	Europe	2013	2013-01-01	2013	KX375812	West Nile virus Novi Sad 24/2013	Orthoflavivirus nilense	Novi Sad 24/2013	serum	Serbia	2013	2013	Serbia	Human	Human	
KC496016_Novi Sad-2010	Orthoflavivirus nilense	Serbia	Europe	2010	2010-01-01	2010	KC496016	West Nile virus Novi Sad-2010	Orthoflavivirus nilense	Novi Sad-2010		Serbia	2010	2010	Serbia	Northern House Mosquito	Insect	
KC407673_Sad/12	Orthoflavivirus nilense	Serbia	Europe	2012	2012-01-01	2012	KC407673	West Nile virus Sad/12	Orthoflavivirus nilense	Sad/12		Serbia	2012	2012	Serbia	Goshawk	Avian	
MH244510_486.B/2014/Velky Biel/SVK	Orthoflavivirus nilense	Slovakia	Europe	2014	2014-01-01	2014	MH244510	West Nile virus 486.B/2014/Velky Biel/SVK	Orthoflavivirus nilense	486.B/2014/Velky Biel/SVK	brain	Slovakia	2014	2014	Slovakia: Velky Biel	Goshawk	Avian	
MH244511_291.B/2013/Velky Biel/SVK	Orthoflavivirus nilense	Slovakia	Europe	2013	2013-01-01	2013	MH244511	West Nile virus 291.B/2013/Velky Biel/SVK	Orthoflavivirus nilense	291.B/2013/Velky Biel/SVK	brain	Slovakia	2013	2013	Slovakia: Velky Biel	Goshawk	Avian	
MH244512_286.B/2013/Velky Biel/SVK	Orthoflavivirus nilense	Slovakia	Europe	2013	2013-01-01	2013	MH244512	West Nile virus 286.B/2013/Velky Biel/SVK	Orthoflavivirus nilense	286.B/2013/Velky Biel/SVK	brain	Slovakia	2013	2013	Slovakia: Velky Biel	Goshawk	Avian	
MH244513_200.B/2013/Secovce/SVK	Orthoflavivirus nilense	Slovakia	Europe	2013	2013-01-01	2013	MH244513	West Nile virus 200.B/2013/Secovce/SVK	Orthoflavivirus nilense	200.B/2013/Secovce/SVK	brain	Slovakia	2013	2013	Slovakia: Secovce			
MW561633_769.B/2018/Kavecany/SVK	Orthoflavivirus nilense	Slovakia	Europe	2018	2018-11-16	2018-11-16	MW561633	West Nile virus 769.B/2018/Kavecany/SVK	Orthoflavivirus nilense	769.B/2018/Kavecany/SVK	brain	Slovakia	2018	2018-11-16	Slovakia			
MK947396_Ko169-2018	Orthoflavivirus nilense	Slovenia	Europe	2018	2018-01-01	2018	MK947396	West Nile virus Ko169-2018	Orthoflavivirus nilense	Ko169-2018		Slovenia	2018	2018	Slovenia	Mosquito	Insect	
MK947397_WNV-2950	Orthoflavivirus nilense	Slovenia	Europe	2018	2018-08-23	2018-08-23	MK947397	West Nile virus WNV-2950	Orthoflavivirus nilense	WNV-2950	urine	Slovenia	2018	2018-08-23	Slovenia	Human	Human	
JF707789_HU6365/08	Orthoflavivirus nilense	Spain	Europe	2008	2008-01-01	2008	JF707789	West Nile virus HU6365/08	Orthoflavivirus nilense	HU6365/08		Spain	2008	2008	Spain	Mosquito	Insect	
MW915462_Spain/2017/NG-b	Orthoflavivirus nilense	Spain	Europe	2017	2017-09-01	2017-09	MW915462	West Nile virus Spain/2017/NG-b	Orthoflavivirus nilense	Spain/2017/NG-b	brain	Spain	2017	2017-09	Spain: Manilva	 Malaga	Goshawk	Avian
OM037670_Spain/2017/Northern_goshawk/AC568	Orthoflavivirus nilense	Spain	Europe	2017	2017-09-01	2017-09	OM037670	West Nile virus Spain/2017/Northern_goshawk/AC568	Orthoflavivirus nilense	Spain/2017/Northern_goshawk/AC568	brain	Spain	2017	2017-09	Spain: Lerida	 Catalonia		
OM037671_Spain/2020/Northern_goshawk/AC913	Orthoflavivirus nilense	Spain	Europe	2020	2020-09-01	2020-09	OM037671	West Nile virus Spain/2020/Northern_goshawk/AC913	Orthoflavivirus nilense	Spain/2020/Northern_goshawk/AC913	brain	Spain	2020	2020-09	Spain: Lerida	 Catalonia		
OM037672_Spain/2020/Northern_goshawk/AC923	Orthoflavivirus nilense	Spain	Europe	2020	2020-09-01	2020-09	OM037672	West Nile virus Spain/2020/Northern_goshawk/AC923	Orthoflavivirus nilense	Spain/2020/Northern_goshawk/AC923	brain	Spain	2020	2020-09	Spain: Tarragona	 Catalonia		
OM037673_Spain/2020/Northern_goshawk/AC924	Orthoflavivirus nilense	Spain	Europe	2020	2020-09-01	2020-09	OM037673	West Nile virus Spain/2020/Northern_goshawk/AC924	Orthoflavivirus nilense	Spain/2020/Northern_goshawk/AC924	brain	Spain	2020	2020-09	Spain: Tarragona	 Catalonia		
OQ357819_22C2392	Orthoflavivirus nilense	Spain	Europe	2022	2022-01-01	2022	OQ357819	West Nile virus 22C2392	Orthoflavivirus nilense	22C2392		Spain	2022	2022	Spain	Mosquito	Insect	
OQ357821_JA22_423	Orthoflavivirus nilense	Spain	Europe	2022	2022-01-01	2022	OQ357821	West Nile virus JA22_423	Orthoflavivirus nilense	JA22_423		Spain	2022	2022	Spain	Mosquito	Insect	
OQ357822_JA22_544	Orthoflavivirus nilense	Spain	Europe	2022	2022-01-01	2022	OQ357822	West Nile virus JA22_544	Orthoflavivirus nilense	JA22_544		Spain	2022	2022	Spain	Mosquito	Insect	
KC407667_ABB-B13	Orthoflavivirus nilense	Spain	Europe	2007	2007-01-01	2007	KC407667	West Nile virus ABB-B13	Orthoflavivirus nilense	ABB-B13		Spain	2007	2007	Spain	Mouse	Nonhuman Mammal	
KJ958922_T2	Orthoflavivirus nilense	Turkey	Europe	2011	2011-01-01	2011	KJ958922	West Nile virus T2	Orthoflavivirus nilense	T2	blood	Turkey	2011	2011	Turkey	Horse	Nonhuman Mammal	
OP617270_WNV/Turkey/HSGM136s/2018	Orthoflavivirus nilense	Turkey	Europe	2018	2018-01-01	2018	OP617270	West Nile virus WNV/Turkey/HSGM136s/2018	Orthoflavivirus nilense	WNV/Turkey/HSGM136s/2018		Turkey	2018	2018	Turkey	Human	Human	
JX041631_LEIV-3266Ukr	Orthoflavivirus nilense	Ukraine	Europe	1980	1980-01-01	1980	JX041631	West Nile virus LEIV-3266Ukr	Orthoflavivirus nilense	LEIV-3266Ukr		Ukraine	1980	1980	Ukraine: Lviv region	Bird	Avian	
